uid,uof_uid,tracking_id_og,tracking_id,investigation_status,service_type,light_condition,weather_condition,shift_time,disposition,division,division_level,unit,originating_bureau,use_of_force_description,use_of_force_level,use_of_force_effective,age,years_of_service,officer_injured,agency,use_of_force_reason
0236ef640a10bee213cc3dcf14ce8f2c,2c3b2ba51830c4600cc8e5dbebdf00bc,ftn2018-0454,def693923bac017f9fe1941793020dad,Completed,arresting,good,clear conditions,between 3pm-11pm,use of force justified,investigations,,squad 2,field operations bureau,firearm (exhibited),l1,yes,37,13,No,new-orleans-pd,tactical deployments
41e256cc2feed07250706daf5ec836b4,2c419ef84da1e7270cf8232ed296aa4e,ftn2020-0205,24e28300eff940e160a72d3eaa572ede,Completed,call for service,poor,clear conditions,between 3pm-11pm,use of force justified,b platoon,3rd district,patrol,field operations bureau,hands,l1,yes,23,3,No,new-orleans-pd,refused verbal commands
a27837a6c30cc0a5980ed88c8232b6b8,2c47b7d72480dad9571477ff0d0ac324,ftn2021-0020,26f01b4cc860cacbfe9c27f9fc2a7528,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,7th district,patrol,field operations bureau,firearm (exhibited),l1,yes,28,4,No,new-orleans-pd,refused verbal commands
8e97281aa94f1b9a5991521912f4ef93,2c768c8c2e2560cbd76aa37a4cd09632,ftn2020-0314,df8993a0a4b6664a231543ae764e2812,Completed,serving a warrant,good,clear conditions,between 7am-3pm,use of force justified,tactical,special operations,,field operations bureau,firearm (exhibited),l1,yes,32,8,No,new-orleans-pd,weapon exhibited
f108f72138304b0525e13f187e65140f,2c827650b8e7b36e8f50e780830500ea,ftn2020-0134,a8dbaa4b24947c34fd152e56c64e1bd0,Completed,traffic stop,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,7th district,patrol,field operations bureau,hands,l1,yes,32,4,No,new-orleans-pd,resisted lawful arrest
e6fca608c23c46d70382a399583dd92f,2c913c9623240143655e7f0e8cd3d67a,ftn2018-0274,8529a6fa670d3a7fdf53a15818807cbf,Completed,serving a warrant,good,clear conditions,between 7am-3pm,use of force justified,task force,4th district,a,field operations bureau,hands,l1,yes,46,9,No,new-orleans-pd,resisted lawful arrest
c180f10b27fd025b02470bbfc80a3c01,2c99cc96a393ac09adc8ae7530f325a1,ftn2019-0258,6998c4eeb4ae229146ea9b5394a30572,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,2nd district,patrol,field operations bureau,hands,l1,yes,54,21,No,new-orleans-pd,battery on officer
8e97281aa94f1b9a5991521912f4ef93,2ca70f7b9bb095a591e85c0c901c8dd4,ftn2020-0199,ca78a38ae15d13215536e5e83949b60a,Completed,serving a warrant,good,clear conditions,between 3pm-11pm,use of force justified,,special operations,,field operations bureau,firearm (exhibited),l1,yes,32,8,No,new-orleans-pd,flight from an officer
60f6f3730951c4532d9e7b03e398f14e,2cb109711c0dd759d27929e35f397fad,ftn2019-0284,cc611f31b72d74f36b0a74df3a1e898c,Completed,call for service,good,clear conditions,between 3pm-11pm,use of force justified,b platoon,1st district,patrol,public integrity bureau,hands,l1,yes,23,3,No,new-orleans-pd,refused verbal commands
03dbb8bf9e0521cae7a619ad774d8c0c,2cb393c162275dcaa192fe391232aab3,ftn2016-0014,d856b63f23f414f8514fb5b5c0b3c1e1,Completed,call for service,good,rainy conditions - light,,use of force authorized,1st platoon,1st district,,field operations bureau,conducted electrical weapon deployment,l2,yes,46,27,No,new-orleans-pd,resisted lawful arrest
93ad9d02d45a0f9747eaa4eb24092a26,2cc61760e0dc9701a697697c75d9483a,ftn2017-0322,c89d37d390785825b85876823b19bcd5,Completed,arresting,good,clear conditions,between 7am-3pm,use of force authorized,a platoon,6th district,patrol,field operations bureau,force (take down),l2,yes,35,14,No,new-orleans-pd,refused verbal commands
248bc0c45793161b81a7072cc58e4692,2ce909fbd546c64924bf4f903d220816,ftn2019-0171,27d45e0e2e696aad5228e518ce41cf07,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,4th district,patrol,field operations bureau,hands,l1,yes,45,22,No,new-orleans-pd,resisted lawful arrest
f042905406e5dfbcf45258f0ef265fee,2d0480656f6dd2151231da8ca6251789,ftn2021-0003,cd8cdaaaa4f0210c28a74977cdd2a368,Completed,arresting,poor,clear conditions,between 11pm-7am,use of force justified,b platoon,1st district,patrol,field operations bureau,force (escort tech),l1,yes,45,3,No,new-orleans-pd,resisted lawful arrest
a21ac925aff5528824450f8acbce145f,2d202ed02610be688dda952021a8e295,ftn2017-0142,59f38f46cc2b496c19a224d10e587249,Completed,serving a warrant,poor,clear conditions,,use of force authorized,tactical,special operations,violent offender warrant squad,field operations bureau,firearm (exhibited),l1,yes,45,24,No,new-orleans-pd,other
eb3a6217d7eb7ad460490be1a21dc22c,2d231ada25f83ebe6b469216c21aad05,ftn2021-0008,53138946a25c482b93217affc34e26aa,Completed,serving a warrant,good,clear conditions,between 3pm-11pm,use of force justified,c platoon,special operations,,field operations bureau,firearm (exhibited),l1,yes,29,5,No,new-orleans-pd,flight from an officer
2122cc0c8c5533681b9a08e94c2c452b,2d25fd571a14de465c4d93d11cd553de,ftn2016-0582,46a6c935eb008d4425ad39dd54f0e934,Completed,arresting,good,clear conditions,,use of force authorized,tactical,special operations,1st platoon,field operations bureau,force (take down),l2,no,42,12,No,new-orleans-pd,escape
77df327fdbf184073c265aed8e9a0b73,2d2c7997ca7cd6583f42e4900c7ae442,ftn2018-0144,7816550eb52b2fb0ff04b1c733ca2414,Completed,arresting,good,clear conditions,between 7am-3pm,use of force justified,a platoon,3rd district,patrol,field operations bureau,firearm (exhibited),l1,yes,40,7,No,new-orleans-pd,resisted lawful arrest
1203fc12497195b0f74bd28b9ba36e76,2d2e71bce07908a1ddcc676b1046d16e,ftn2016-0593,ae80664b3217d320713e5a3e47cc0930,Completed,other,poor,clear conditions,,use of force authorized,narcotics,5th district,narcotics,field operations bureau,conducted electrical weapon deployment,l2,yes,33,13,No,new-orleans-pd,resisted lawful arrest
ced2f293bb0b11f775c519de97003f4e,2d3734934d42a5e00f68eee039bb87b9,ftn2021-0285,38c5e594c87bb2920e47a8e637927d46,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,6th district,patrol,field operations bureau,hands,l1,yes,46,13,No,new-orleans-pd,other
89382dd62eb24b2e546c9bdce5ee46f6,2d3c164e283ae864b307a993a8bb1db5,ftn2017-0480,023cec97804230403e84b87a9d48625a,Completed,call for service,good,clear conditions,between 11pm-7am,use of force authorized,night watch,7th district,patrol,field operations bureau,hands,l1,no,34,5,No,new-orleans-pd,flight from an officer
